"N","Price","Polynomial","Error","color"
1000,1.11109966460269,2,1.21319033539731,"#FF0000"
5000,1.0111107451897,2,1.3131792548103,"#FF0000"
10000,1.15672915748619,2,1.16756084251381,"#FF0000"
50000,1.19216007467341,2,1.13212992532659,"#FF0000"
100000,1.18889807520093,2,1.13539192479907,"#FF0000"
500000,1.19185930420678,2,1.13243069579322,"#FF0000"
1000000,1.18975700579148,2,1.13453299420852,"#FF0000"
1000,1.11887489396004,3,1.20541510603996,"#FFBF00"
5000,1.01688327780652,3,1.30740672219348,"#FFBF00"
10000,1.17362600173946,3,1.15066399826054,"#FFBF00"
50000,1.00068557788648,3,1.32360442211352,"#FFBF00"
100000,1.08900547892469,3,1.23528452107531,"#FFBF00"
500000,1.02616995085961,3,1.29812004914039,"#FFBF00"
1000000,1.0142724520924,3,1.3100175479076,"#FFBF00"
1000,1.11674101818336,4,1.20754898181664,"#80FF00"
5000,1.02473147700527,4,1.29955852299473,"#80FF00"
10000,1.16441224843825,4,1.15987775156175,"#80FF00"
50000,1.06312806947638,4,1.26116193052362,"#80FF00"
100000,1.07841676957045,4,1.24587323042955,"#80FF00"
500000,1.0465976075997,4,1.2776923924003,"#80FF00"
1000000,1.0247951039344,4,1.2994948960656,"#80FF00"
1000,1.14163091221828,5,1.18265908778172,"#00FF40"
5000,1.04406816849019,5,1.28022183150981,"#00FF40"
10000,1.16451160782425,5,1.15977839217575,"#00FF40"
50000,1.05378724444067,5,1.27050275555933,"#00FF40"
100000,1.06837947620673,5,1.25591052379327,"#00FF40"
500000,1.09725436523552,5,1.22703563476448,"#00FF40"
1000000,1.05685668415222,5,1.26743331584778,"#00FF40"
1000,1.15456465472677,6,1.16972534527323,"#00FFFF"
5000,1.07065131160554,6,1.25363868839446,"#00FFFF"
10000,1.20954457849922,6,1.11474542150078,"#00FFFF"
50000,1.08154517498533,6,1.24274482501467,"#00FFFF"
100000,1.27664741619746,6,1.04764258380254,"#00FFFF"
500000,1.12689874820118,6,1.19739125179882,"#00FFFF"
1000000,1.11037175105086,6,1.21391824894914,"#00FFFF"
1000,1.21354032387887,7,1.11074967612113,"#0040FF"
5000,1.10329006474976,7,1.22099993525024,"#0040FF"
10000,1.23966117799513,7,1.08462882200487,"#0040FF"
50000,1.09269661320139,7,1.23159338679861,"#0040FF"
100000,1.12071987695933,7,1.20357012304067,"#0040FF"
500000,1.17491745025192,7,1.14937254974808,"#0040FF"
1000000,1.24751375281899,7,1.07677624718101,"#0040FF"
1000,1.13817025183558,8,1.18611974816442,"#8000FF"
5000,1.10333970670722,8,1.22095029329278,"#8000FF"
10000,1.24153022725589,8,1.08275977274411,"#8000FF"
50000,1.0920969292975,8,1.2321930707025,"#8000FF"
100000,1.11842029588187,8,1.20586970411813,"#8000FF"
500000,1.31747470570976,8,1.00681529429024,"#8000FF"
1000000,1.17055297070241,8,1.15373702929759,"#8000FF"
1000,1.14107245065442,9,1.18321754934558,"#FF00BF"
5000,1.10736112059064,9,1.21692887940936,"#FF00BF"
10000,1.24455341981075,9,1.07973658018925,"#FF00BF"
50000,1.09451626216483,9,1.22977373783517,"#FF00BF"
100000,1.03850498096618,9,1.28578501903382,"#FF00BF"
500000,1.282937694006,9,1.041352305994,"#FF00BF"
1000000,1.13667050363727,9,1.18761949636273,"#FF00BF"
